﻿﻿Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,﻿﻿﻿分类_en,功能_en,功能说明_en,参数名称_en,参数释义_en,参数类型_en,"默认
值_en","下
限_en","上
限_en",默认值_en
/strategy/dl_infer/open_ground_objects_seg,,,Ground object model,,DL-Sensory,Model switch,,,,,DL-Sensory,Model switch,,Ground object model,,bool,TRUE,,,
/strategy/dl_infer/open_xyf_detect,,,xfy model,,DL-Sensory,Model switch,,,,,DL-Sensory,Model switch,,xfy model,,bool,TRUE,,,
/dirty_config/other/showcase,,,Passable edge-booth detection function,1:Open; 2:Close,DL-Sensory,Passable edge-booth detection function,,,,,DL-Sensory,Passable edge-booth detection function,,Passable edge-booth detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/shelves,,,Passable edge-shelf detection function,1:Open; 2:Close,DL-Sensory,Passable edge-shelf detection function,,,,,DL-Sensory,Passable edge-shelf detection function,,Passable edge-shelf detection function,1:Open; 2:Close,int,2,1,2,
/dirty_config/other/blackobject,,,Passable edge: black object detection function,1:Open; 2:Close,DL-Sensory,Passable edge-black object detection function,,,,,DL-Sensory,Passable edge-black object detection function,,Passable edge: black object detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/pole,,,Passable edge-billboard detection function,1:Open; 2:Close,DL-Sensory,Passable edge-billboard detection function,,,,,DL-Sensory,Passable edge-billboard detection function,,Passable edge-billboard detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/escalator_edge,,,Passable edge-escalator metal edge detection function,1:Open; 2:Close,DL-Sensory,Passable edge-escalator metal edge detection function,,,,,DL-Sensory,Passable edge-escalator metal edge detection function,,Passable edge-escalator metal edge detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/fallarea_edge,,,Passable edge-fall zone detection function,1:Open; 2:Close,DL-Sensory,Passable edge-fall zone detection function,,,,,DL-Sensory,Passable edge-fall zone detection function,,Passable edge-fall zone detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/glass,,,Passable edge-glass detection function,1:Open; 2:Close,DL-Sensory,Passable edge-glass detection function,Function description: https://gaussian.yuque.com/perception/documents/gfrhneuwau446brq,,,,DL-Sensory,Passable edge-glass detection function,Function description: https://gaussian.yuque.com/perception/documents/gfrhneuwau446brq,Passable edge-glass detection function,1:Open; 2:Close,int,1,1,2,
/strategy/four_point_sticker_detect_enable,,,Four-point red sticker identification switch,,DL-Sensory,Infrared sticker recognition (four points),,,,,DL-Sensory,Infrared sticker recognition (four points),,Four-point red sticker identification switch,,bool,TRUE,,,
/strategy/hexagon_sticker_detect_enable,,,Seven-point infrared sticker recognition switch,,DL-Sensory,Infrared sticker recognition (seven o'clock),,,,,DL-Sensory,Infrared sticker recognition (seven o'clock),,Seven-point infrared sticker recognition switch,,bool,TRUE,,,
/strategy/ir_sticker_enable,,,Infrared sticker detection function switch,,DL-Sensory,Infrared sticker recognition,,,,,DL-Sensory,Infrared sticker recognition,,Infrared sticker detection function switch,,bool,TRUE,,,
/dirty_config/other/footpad,,,Ground segmentation-foot pad detection function,1:Open; 2:Close,DL-Sensory,Ground segmentation-foot pad detection function,,,,,DL-Sensory,Ground segmentation-foot pad detection function,,Ground segmentation-foot pad detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/escalator_pedal,,,Ground segmentation-escalator pedal detection function,1:Open; 2:Close,DL-Sensory,Ground segmentation-escalator pedal detection function,,,,,DL-Sensory,Ground segmentation-escalator pedal detection function,,Ground segmentation-escalator pedal detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/wire,,,Ground segmentation-wire detection function,1:Open; 2:Close,DL-Sensory,Ground segmentation-wire detection function,,,,,DL-Sensory,Ground segmentation-wire detection function,,Ground segmentation-wire detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/other/carpet,,,Ground segmentation-carpet detection function,1:Open; 2:Close,DL-Sensory,Ground segmentation-carpet detection function,,,,,DL-Sensory,Ground segmentation-carpet detection function,,Ground segmentation-carpet detection function,1:Open; 2:Close,int,2,1,2,
/dirty_config/garbage/garbage,,,Garbage detection function,1:Open; 2:Close,DL-Sensory,DL-Garbage Detection,,,,,DL-Sensory,DL-Garbage Detection,,Garbage detection function,1:Open; 2:Close,int,2,1,2,
/dirty_config/garbage/large_garbage,,,Large garbage detection function,1:Open; 2:Close,DL-Sensory,DL-Garbage Detection,,,,,DL-Sensory,DL-Garbage Detection,,Large garbage detection function,1:Open; 2:Close,int,1,1,2,
/dirty_config/garbage/mixed_garbage_temp,,,NUll,1:Open; 2:Close,DL-Sensory,DL-Garbage Detection,,,,,DL-Sensory,DL-Garbage Detection,,NUll,1:Open; 2:Close,int,1,1,2,
/dirty_config/model/open_garbage_sewage_ss,,,NUll,,DL-Sensory,,,,,,DL-Sensory,,,NUll,,bool,FALSE,,,
/strategy/rcc/remote_control_limitation,,,Privacy protection switch,,NUll,Privacy protection switch,,,,,NUll,Privacy protection switch,,Privacy protection switch,,bool,,,,
/strategy/console/strong_wash_args_detergent_wait_time,,,Waiting time,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,,,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,Waiting time,,int,180,,,
/strategy/console/strong_wash_args_foam_num,,,Number of foam absorption,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,,,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,Number of foam absorption,,int,0,,,
/strategy/console/strong_wash_args_scrub_num,,,Number of floor rubs,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,,,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,Number of floor rubs,,int,1,,,
/strategy/console/strong_wash_args_speed_level,,,速度,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,,,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,速度,,int,1,,,
/strategy/console/strong_wash_args_spray,,,Number of sprays,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,,,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,Number of sprays,,int,1,,,
/strategy/console/strong_wash_args_wash_num,,,Number of cleaning times,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,,,,NUll,Equipment Control-Cleaner Pump,Heavy oil removal,Number of cleaning times,,int,1,,,
/strategy/depth_camera_occlusion_triggered_time_thresh,,,"After issuing a 20832/20833 alarm, it will take at least X minutes before the next alarm will be issued",,NUll,Sensor-camera,,,,,NUll,Sensor-camera,,"After issuing a 20832/20833 alarm, it will take at least X minutes before the next alarm will be issued",,int,60,,,
/strategy/gs_data_feedback/camera_cover_detect/enable,,,NUll,,NUll,DL-Sensory,Deep Learning Data Reflow,,,,NUll,DL-Sensory,Deep Learning Data Reflow,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/camera_interference_detect/enable,,,NUll,,NUll,DL-Sensory,Deep Learning Data Reflow,,,,NUll,DL-Sensory,Deep Learning Data Reflow,NUll,,bool,TRUE,,,
/strategy/gs_data_feedback/dl_depth_fusion/enable,,,NUll,,NUll,DL-Sensory,Deep Learning Data Reflow,,,,NUll,DL-Sensory,Deep Learning Data Reflow,NUll,,bool,TRUE,,,
/device/mcu/cancel_ttl_485,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/device_operation_timeout_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,20,0,100000,
/device/scrubber/disc_brush_position_adjust_delta_current_level_setting,,,NUll,,NUll,,,,,,NUll,,,NUll,,string,"""12,9,6""",,,
/device/scrubber/dust_detect_sensor_error_voltage_threshold,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,5,,,
/device/scrubber/dust_full_distance,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,20,,,
/device/scrubber/enable_auto_replace_brush,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/enable_brush_motor_off_while_place_rotating,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/enable_clean_dust,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/enable_fnl_detection,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/fnl_fan_level_value,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,100,0,100,
/device/scrubber/half_lift_brush_during_inspection,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/head_cover_detection_timeout_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,60,0,1000,
/device/scrubber/high_water_flow_and_remaining_water_interval,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,1800,10,3600,
/device/network/ping_hosts,,,NUll,,NUll,,,,,,NUll,,,NUll,,string,"""8.8.8.8,114.114.114.114""",,,
/device/network/wifi_search_ap_list_slam_http_interval,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,20,,,
/device/network/wifi_search_ap_list_slam_interval,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,20,1,1000,
/device/network/wifi_search_ap_list_slam_interval,,,NUll,,NUll,,,,,,,,,,,,,,,
/device/scrubber/cleaning_ability_dust_push_settings,,,NUll,,NUll,,,,,,NUll,,,NUll,,string,"""garbage""",,,
/device/scrubber/cleaning_ability_sweep_settings,,,NUll,,NUll,,,,,,NUll,,,NUll,,string,"""garbage""",,,
/device/scrubber/cleaning_ability_wash_settings,,,NUll,,NUll,,,,,,NUll,,,NUll,,string,"""empty""",,,
/device/scrubber/close_valve_by_robot_still_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,60,0,1000,
/device/scrubber/delay_lift_squeegee_without_water,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/device/scrubber/motor_work_min_speed,,,Minimum speed for triggering the operation of the equipment motor,,NUll,,,,,,NUll,,,Minimum speed for triggering the operation of the equipment motor,,double,0.01,0,10000,
/device/scrubber/right_side_brush_reverse,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/device/scrubber/secondary_water_low_level_continued_duration,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,3,0,10,
/device/scrubber/secondary_water_low_level_continued_duration,,,NUll,,NUll,,,,,,,,,,,,,,,
/device/scrubber/speed_limit_device_function_warning_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,60,0,100000,
/device/scrubber/speed_limit_device_operation_warning_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,30,0,100000,
/device/scrubber/static_cleaning_ability,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,1,0,2,
/device/scrubber/valve_protect_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,8,0,10,
/dirty_config/model/filter_crossover_detect,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/feature/software/aio_active_clean_switch_enable,,,Active cleaning function switch,"Active cleaning is a relative task configuration item, indicating whether I will actively avoid the dirt and garbage I see when I work normally.",NUll,,,,,,NUll,,,Active cleaning function switch,"Active cleaning is a relative task configuration item, indicating whether I will actively avoid the dirt and garbage I see when I work normally.",bool,TRUE,,,
/feature/software/enable_strongwash_workmode,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/feature/software/enabled_battery_cell_undervoltage,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/feature/software/is_docking_check_enable,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/pnc/decision/realtime_autocover/improve_pedestrian_interaction_experience,,,NUll,,NUll,,,,,,NUll,,,NUll,Will the pedestrian avoidance experience be improved in the M-line scenario,bool,FALSE,,,false
/pnc/gaussian/strategy/close_plan_mask_limit,,,NUll,,NUll,,,,,,NUll,,,NUll,Is it possible to close pedestrian avoidance mask restrictions in M-line scenarios?,bool,FALSE,,,true
/pnc/planning/moving_people_decider/inspection_for_dynamic_people,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,15,,,
/pnc/planning/moving_people_decider/inspection_for_static_people,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,15,,,
/pnc/planning/moving_people_decider/use_decider,,,NUll,,NUll,,,,,,NUll,,,NUll,Whether to enable pedestrian avoidance decision-maker in M-line scenarios,bool,TRUE,,,false
/sensor/lidar/lidar2d_max_dist,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,25,,,
/strategy/app/glassdoor_edit,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/chassis/imu/overturn_pitch_alarm_threshold,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,45,,,
/strategy/chassis/imu/overturn_roll_alarm_threshold,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,45,,,
/strategy/chassis/quick_switch_manual_mode_timeout,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,2,1,10,
/strategy/chassis/speed_v/remote_level,,,未使用,,NUll,,,,,,NUll,,,未使用,,int,100,0,255,
/strategy/chassis/sum_angular_diff,,,Threshold (angle) for the accumulation of high-speed speed difference,0,NUll,,,,,,NUll,,,Threshold (angle) for the accumulation of high-speed speed difference,0,double,7,,,
/strategy/chassis/sum_vel_diff,,,Threshold of the accumulation of high-speed speed difference (speed),0,NUll,,,,,,NUll,,,Threshold of the accumulation of high-speed speed difference (speed),0,double,3.8,,,
/strategy/chassis/torque_control/v_level_3,,,Assisted mode speed configuration,"Recommended speed in power-assist mode, which can limit the maximum speed of the robot driving",NUll,,,,,,NUll,,,Assisted mode speed configuration,"Recommended speed in power-assist mode, which can limit the maximum speed of the robot driving",double,1,0.1,2,
/strategy/chassis/wheel_motor_monitor/enable_zero_drift_detection,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/checker/detail_update_interval,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,1440,60,1440,
/strategy/checker/update_complete,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/checker/update_enable,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/checker/update_startup_delay,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,10,3,10,
/strategy/console/default_active_clean_switch_val,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/console/enable_device_limits,,,Pre-task equipment in-position detection function switch,,NUll,,,,,,NUll,,,Pre-task equipment in-position detection function switch,,bool,FALSE,,,
/strategy/console/enable_draw_inaccessible_area,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/console/gohome1_idle_cd,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,10,1,99999,
/strategy/console/gohome1_idle_cd_before,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,1490,0,99999,
/strategy/console/gohome1_stop_temp_task_cd,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,28800,1,99999,
/strategy/console/gohome1_stop_temp_task_cd_before,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,0,0,99999,
/strategy/console/gohome1_task_finish_cd,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,10,1,99999,
/strategy/console/gohome1_task_finish_cd_before,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,0,0,99999,
/strategy/console/land_mark_check,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/console/maintain_mode/leave_duration,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,1800,0,86400,
/strategy/console/maintain_mode/notify_leave_duration,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,300,0,3600,
/strategy/console/privacy_switcher,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/console/sewage_wait_time,,,Waiting time for sewage,,NUll,,,,,,NUll,,,Waiting time for sewage,,int,10,0,3600,
/strategy/console/similar_point_detect,,,不用了,,NUll,,,,,,NUll,,,不用了,,bool,TRUE,,,
/strategy/console/slam_floor_recognition_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,8,,,
/strategy/console/supported_task_version,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,1,0,3,
/strategy/console/use_additional_delta_duration,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/console/user_volume,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,25,0,100,
/strategy/console/warning_guide_idle_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,3600,120,7200,
/strategy/depth_camera_occlusion_detect_enable,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/depth_estimate_fusion_ghost_enable,,,Model switch Shadow mode switch,,NUll,,,,,,NUll,,,Model switch Shadow mode switch,,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable_gdpr_face_detection,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/dl_infer/data_feedback/enable_vpr,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/dl_infer/open_depth_estimation,,,Model switch,,NUll,,,,,,NUll,,,Model switch,,bool,TRUE,,,
/strategy/dl_infer/open_gdpr_face_detection,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/dl_infer/open_keypoint,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/dl_infer/open_vpr,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/elevator_base/ordering_min_dis,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,1.5,,,
/strategy/fov_realtime_auto_cover/draining_time,,,NUll,,NUll,,,,,,NUll,,,NUll,,double,120,,,
/strategy/fov_realtime_auto_cover/enable_abandon_area_sewage,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,FALSE,,,
/strategy/fov_realtime_auto_cover/enable_full_safe_check,,,NUll,,NUll,,,,,,NUll,,,NUll,,bool,TRUE,,,
/strategy/gs_work_station/delay_recovery_clean_water_empty_warn_sec,,,NUll,,NUll,,,,,,NUll,,,NUll,,int,10,1,99,
