﻿分类,功能,功能说明,参数名称,参数中文名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
梯控,Ladder control-Called ladder,,/strategy/elevator_controller/wait_timeout_times_avoidance,How many times have passed? Go to the avoidance point,"Default 3, range 1-6",int,1,6,3,,
梯控,Ladder control-waiting ladder,,/strategy/elevator_base/waiting_zone_dis_to_entry,The best waiting position distance from the entry point,"(The elevator waiting pose displayed on the map) has a backward movement distance (default 0.5). In some sites, if the waiting position needs to be away from the stairs, this parameter can be increased;",double,,,0.6,,
梯控,Ladder control-waiting ladder,,/strategy/elevator_controller/waiting_elevator_timeout,Waiting ladder timeout,,int,0,864000,300,,
梯控,Ladder control-Close door,,/strategy/elevator_controller/close_door_timeout,Timeout time for closing elevator door,,int,0,864000,300,,
梯控,Ladder control-Close door,,/strategy/elevator_controller/close_door_timeout_while_retry,Have been deprecated,,int,,,10,,
梯控,Ladder control-Close door,,/strategy/elevator_controller/send_close_door,Send a closing command,"1: means sending, 0: means not sending",int,,,1,,
梯控,Ladder control-outlet,,/strategy/elevator_base/cut_off_dis,The distance from the end point of the ladder path to the ladder point,,double,,,1.5,,
梯控,Ladder control-outlet,,/strategy/elevator_base/cut_off_dis,The distance from the end point of the ladder path to the ladder point,,double,0.5,1.5,1.5,,
梯控,Ladder control-outlet,,/strategy/elevator_base/get_out_parking_dis,Distance of stopping the ladder,,double,,,0.1,,
梯控,Ladder control-outlet,,/strategy/elevator_base/get_out_timeout,Time out of ladder,"That is, after this time comes, you will give up the stairs and return to the stairs;",double,,,60,,
梯控,Ladder control-outlet,,/strategy/elevator_base/get_out_waiting_time,Continuous parking timeout for exiting the ladder,"That is, if you continue to stop and exceed the time, you will give up the ladder and return to the ladder;",double,,,45,,
梯控,Ladder control-outlet,,/strategy/elevator_controller/retry_out_elevator_num,Retry the number of times,,int,0,864000,3,,
梯控,Ladder control-ladder,,/strategy/elevator_controller/take_elevator_timeout,Timeout time for stairs,,int,0,864000,1200,,
梯控,梯控,,/strategy/elevator_controller/elevator_strategy,Added new policy robust,"String The policies are positive, balance, negative, and robust",string,,,"""robust""",,
梯控,梯控,,/strategy/elevator_controller/take_elevator_retry_times,"The number of retry times for ladder control, unit times, except for the number of other retry times for ladder entering and exiting",,int,0,864000,5,,
梯控,Call time interval,"Note: You cannot set these parameters too short. If the settings are too short, it will cause the effect of continuous buttons, resulting in cancellation of the buttons on the corresponding floor, and calling the elevator again, the elevator door will open again; (Repeat will cause the elevator door to be unable to close;)",/strategy/elevator_controller/elevator_communication_interval,"Call time interval, calculation method is (n+1)*500 milliseconds",,int,1,2000,3,,
梯控,,,/strategy/console/elevator_behavior_mode,"Based on this parameter, the robot determines whether it is optimized according to the original ladder control process or supports waiting timeout processing strategy.",0: Default escalation process 1: Supports optimization of waiting timeout processing strategy,int,,,1,,
Manual mode,Power-assist function switch (software),,/strategy/chassis/enable_labor_saving,Enable Assist Mode Function (Software),Assist mode switch,bool,,,TRUE,,
Manual mode,Power handle function,https://gaussian.yuque.com/huofeng-private-group-1780/cowork/ddrbvq,/labor_saving/environment,Ground environment,,string,,,,,
Manual mode,Manual mode acceleration and decreasing speed,,/device/mcu/backward_dec,"Back-deceleration speed in manual mode, 1..500",,int,0,500,,,
Manual mode,Manual mode acceleration and decreasing speed,,/device/mcu/forward_dec,"Forward deceleration in manual mode, 1..500",,int,0,500,500,,
Manual mode,Manual mode,,/device/scrubber/delay_change_auto_time,"In manual cleaning mode, put down the handle directly to trigger the residual water treatment. After the residual water treatment is completed, it will take 10 seconds to cut automatically.",,double,0,10000,10,,
Manual mode,Manual mode,,/device/scrubber/enable_super_strong_wash,Manual mode Cleaning - Super strong gear switch,,bool,,,FALSE,,
Manual mode,Manual mode,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/mtggrlpp963nelwz?singleDoc# ""AIO Manual Mode""",/device/scrubber/handle_up_switch_manual_without_login,Pull up the handle and skip the lock screen to switch directly to manual,,bool,,,FALSE,,
Equipment life,Lifetime of brush disk,,/device/scrubber/brush_usage_alert,Lifetime of brush disk,Lifetime of brush disk,int,0,1000000,300,,
Equipment life,Equipment life,,/device/scrubber/dust_push_usage_alert,Dust push cloth service life,Dust push cloth service life,double,0,3600,20,,
Equipment life,Equipment life,,/device/scrubber/ordinary_dust_push_usage_alert,Service life of ordinary dust push,Service life of ordinary dust push,double,0,3600,20,,
Equipment life,Equipment life,,/device/scrubber/rolling_brush_usage_alert,Rolling brush service life,Rolling brush service life,int,0,1000000,300,,
Equipment life,Equipment life,,/device/scrubber/suction_blade_usage_alert,Squeegee service life,Squeegee service life,int,0,1000000,200,,
Equipment life,Equipment life,,/device/track_motor/mileage_alert,No longer used,,int,0,1000000,,,
Equipment life,Filter service life,,/device/scrubber/filter_usage_alert,Filter service life,Filter service life,int,0,1000000,20,,
Equipment life,Rolling brush life test,"Function description: https://gaussian.yuque.com/od6ghz/no74yv/ec807m?singleDoc# ""S-line-rolling brush type, life, in-place detection requirements""",/device/scrubber/front_rolling_brush_usage_alert,Front rolling brush service life,,double,0,5000,400,,
Equipment life,Rolling brush life test,,/device/scrubber/rear_rolling_brush_usage_alert,Rear rolling brush service life,,double,0,5000,400,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/device/mcu/emergency_type,Emergency Stop Switch Type,0: Non-self-recovery emergency stop hardware 1: For self-recovery emergency stop hardware,int,0,1,1,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"自恢复急停在第一次按下急停时，机器人立即停止。 After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_enabled,Emergency stop self-recovery function switch,,bool,,,TRUE,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_global_enabled,AIO1.2 emergency stop self-recovery global support,,bool,,,TRUE,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_method,急停自恢复恢复策略,,int,0,864000000,1,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"自恢复急停在第一次按下急停时，机器人立即停止。 After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_wait_duration,Countdown time for emergency stop self-recovery,,int,0,864000000,30,,
Equipment control-squeezing lift motor,Squeegee lift motor enable,,/device/scrubber/enable_squeegee_lift_motor,Enable water jet motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-squeezing lift motor,Lifting time control of squeegee lifting motor,,/device/scrubber/squeegee_down_time,Time for squeegee,"The time required to place the squeegee in place, unit: seconds",double,0,3600,6,,
Equipment control-squeezing lift motor,Equipment control-rear lift suction squeegee,,/device/scrubber/backward_half_uplift_squeegee,Rear lift squeegee function switch,,bool,,,TRUE,,
Equipment control-squeezing lift motor,Equipment control-rear lift suction squeegee,,/device/scrubber/backward_liftup_device_speed,Trigger the backing speed of lifting equipment,Trigger the backing speed of lifting equipment,double,0,10000,0.1,,
Equipment control-wind suction motor,,,/device/scrubber/enable_squeegee_motor,Enable air suction motor,Air suction switch,bool,,,TRUE,,
Equipment control-wind suction motor,,,/device/scrubber/fan_level,Air suction level,0,int,0,100,1,,
Equipment control-wind suction motor,,,/device/scrubber/fan_level_setting,Air suction level setting,Air suction level setting,string,,,"""40,50,60""",,
Equipment control-wind suction motor,,,/device/scrubber/squeegee_motor_running_time,Suction air is fully turned on time,"The maximum time required for the air suction to be turned on, unit: seconds",double,0,3600,0,,
Equipment Control-Atomizer,,,/device/scrubber/enable_mist_spray,Spray switch,Enable spray,bool,,,FALSE,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_distance_level_setting,Spray distance level setting,Spray distance level setting,string,,,"""30,60,100""",,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_work_max_angle,Maximum angular velocity for spray working,Maximum angular velocity to trigger the operation of the spray motor,double,0,10000,10,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_work_min_speed,Minimum linear speed for spray operation,Minimum linear speed to trigger the operation of the spray motor,double,0,10000,0,,
Equipment control-Brushing plate lift motor,,,/device/mcu/brush_down_type,Brushing plate lifting motor type,"0: Non-Hall Motor, 1: Hall Motor",int,0,1,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_current_threshold,Brushing disc motor reduce current threshold,,double,0,20,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_full_time,Time to fully drop the brushing motor,,int,0,20000,5000,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_half_time,Time to take for the brushing motor to drop halfway,,int,0,10000,2500,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_level_setting,The push rod motor has low stroke. Unit: mm,,int,0,100,40,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_down_pwm,Reduce power by brushing disk,,int,0,100,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_position_level_setting,Brush disk height level setting,Brush disk height level setting,string,,,"""25,23,21""",,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_pressure_level,Brushing disc motor pressure level,,int,0,100,1,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_pressure_level_setting,Brushing pressure level setting,Brushing pressure level setting,string,,,"""50,100""",,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_up_current_threshold,Brushing disc motor rising current threshold,,double,0,20,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_up_half_time,Crystal plane machine: low position-mid position time,,int,0,10000,3000,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_up_pwm,Brush disk up power,,int,0,100,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/enable_brush_lift_motor,Enable the brushing disk lifting motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/rolling_brush_position_level_setting,Rolling brush height level setting,Roller brush height level setting (stroke value),string,,,"""25,24,23""",,
Equipment Control-Brushing Motor,,,/device/scrubber/brush_spin_level,Drain motor downgrade,,int,0,100,1,,
Equipment Control-Brushing Motor,,,/device/scrubber/brush_spin_level_setting,Swipe speed level settings,Swipe speed level settings,string,,,"""40,70,100""",,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_brush_motor,Enable the brushing motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_left_brush,Enable left brushing motor,,bool,,,,,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_right_brush,Enable right-hand brushing motor,,bool,,,,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/strategy/console/clean_effect_test_area_max,NUll,,int,,,10,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/strategy/console/clean_effect_test_area_min,NUll,,int,,,2,,
Equipment Control-Cleaner Pump,Cleaner grade,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/detergent_level,Cleaner grade,,int,30,90,90,,
Equipment Control-Cleaner Pump,,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/detergent_level_setting,Cleaner grade settings,,string,,,"""30,60,90""",,
Equipment Control-Cleaner Pump,,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/enable_detergent_motor,Enable peristaltic pump switch,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment Control-Other Equipment,蜂鸣器,,/device/scrubber/keep_beeping,Buzzer long-sounding switch,nature: Continuous whistle false: Only sound the whistle in the whistle area,bool,,,FALSE,,
Equipment control-water jet motor,Enable water jet motor,,/device/scrubber/enable_spray_motor,Enable water jet motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-water jet motor,Enable water spray electric valve,,/device/scrubber/enable_valve,Enable squeegee lift motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-water jet motor,Pre-mission soaking,,/device/scrubber/pre_task_spray_duration,Pre-task infiltration duration,"Pre-task infiltration duration, unit: seconds",double,0,3600,0,,
Equipment control-water jet motor,Pre-mission soaking,,/device/scrubber/pre_task_spray_water_level,Pre-task infiltration amount,Pre-task infiltration amount,int,0,100,50,,
Equipment control-water jet motor,Small water spray mode,https://gaussian.yuque.com/od6ghz/no74yv/goaavia27wdoh3of?singleDoc# 《S线喷水逻辑》功能描述： 50：通过对百洁垫的浸润和执行任务过程中持续补水，可以时间对地面的充分清洁/消毒。 功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/hglx4d#VUX7I,/device/scrubber/water_level_min_accuracy,Minimum water volume accurate value,"Small water volume accuracy optimization: minimum water volume accuracy value, unit: percentage",int,1,100,10,,
Equipment control-water jet motor,Small water spray mode,https://gaussian.yuque.com/od6ghz/no74yv/goaavia27wdoh3of?singleDoc# 《S线喷水逻辑》,/device/scrubber/water_level_opt_interval,Precision optimization time,"Small water volume accuracy optimization: precision optimization time unit, unit: seconds",double,0,3600,9,,
Equipment control-water jet motor,Water jet flow detection,,/device/scrubber/flowmeter_threshold,Flow detection threshold value,,int,,,20,,
Equipment control-water jet motor,Water jet flow detection,,/device/scrubber/flowmeter_time_threshold,Flow detection time threshold value,,int,,,60000,,
Equipment control-water jet motor,Water spray level,Function description:,/device/scrubber/water_level,Water spray level,Calculate the analog power based on the battery voltage.,int,0,120,1,,
Equipment control-water jet motor,Water spray level,,/device/scrubber/water_level_setting,Water spray level setting,Water spray level setting,string,,,"""14,18,22""",,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/enable_infiltration,Immersion function switch,,bool,,,TRUE,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/infiltration_duration,Immersion duration,,double,0,100000,60,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/infiltration_spray_water_level_v1,Water volume during infiltration Small water volume pump,,int,0,100,35,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/infiltration_spray_water_level_v2,Water during infiltration Other,,int,0,100,35,,
Equipment control-water jet motor,Infiltration function,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/water_pump_rest_max_time,Maximum time for idle pump,,double,0,100000,600,,
Equipment control-water jet motor,Intermittent water spray 2.0,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/enable_intermit_water_spray,Enable intermittent water spray switch,,bool,,,FALSE,,
Equipment control-water jet motor,Intermittent water spray 2.0,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/intermit_water_spray_time_setting,Intermittent water spray time configuration,,string,,,"""1,1""",,
Equipment control-water jet motor,Rapid spray,"Function description: After opening one-click water spray on the lower interface of the APP, the water spray motor works with the flush_water_percent duty cycle. When the sewage reaches 0%, the drainage motor will work again/keep_flush_water seconds and stop working;",/device/scrubber/flush_water_percent,Rapid water spray duty cycle,One-click flush: spray water,int,50,100,100,,
Equipment control-water jet motor,Rapid spray,"Function description: After opening one-click water spray on the lower interface of the APP, the water spray motor works with the flush_water_percent duty cycle. When the sewage reaches 0%, the drainage motor will work again/keep_flush_water seconds and stop working;",/device/scrubber/keep_flush_water,One-click flush: countdown time after being lower than the minimum float,One-click flush: countdown time after being lower than the minimum float,double,0,3600,300,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/enable_flush_nozzle_regularly,Enable regular flushing of the nozzle,,bool,,,TRUE,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_clean_frequency,Self-cleaning frequency of water spray pipe,,int,0,7,0,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_fan_level,Working grade of large water jet air suction motor,,int,0,100,70,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_single_spray_duration,Single spray time,,double,0,60,5,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_speed_level_value,Self-cleaning vehicle speed of water spray port,,double,0.1,1,0.3,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_spray_interval_time,"Self-cleaning of water spray pipes, single spray interval time",,double,10,30,15,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_spray_total_time,The total time for self-cleaning of water spray pipes,,double,10,60,20,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_start_hour_natural_day,Natural Day Start Time,,int,0,23,0,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_water_level,Self-cleaning water spray port duty cycle,,int,10,100,35,,
