﻿﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,参数类型,"下
限","上
限","默认
值","参数
单位",备注
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/pnc/edge_scenario/follow_obstacle_max_safe_distance,Maximum distance for edge obstacles,,double,0,0.2,0.175,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/realtime_auto_cover/enable_wall_tracking,Real-time automatic coverage of the welt switch,关闭：贴边能力恢复位整机合并版改动前状态，确保清洁效率打开：保证现有贴边优化效果，提升清洁效果；,bool,,,TRUE,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/realtime_auto_cover/safe_distance,Automatically cover the edge distance in real time (M-line edge),,double,,,0.03,,
PNC motion control,Edge running parameters,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# ""Introduction to the Edge Capability & Parameter Modification""",/strategy/realtime_auto_cover/use_virtual_wall_tracking,Real-time automatic coverage of virtual wall switch,Affects the virtual wall function of M-line stickers and does not affect the virtual wall function of S-line stickers,bool,,,TRUE,,
PNC motion control,Efficiency mode function,"Function description: https://gaussian.yuque.com/pnc/yu7uqr/ws1kaxfkgyopmpbn?singleDoc# ""Autocover4.0 Efficiency Improvement Deployment Instructions""",/strategy/move_base/efficiency_submode,Efficiency mode function switch,1: The robot will run at the fastest acceleration,int,0,1,0,,
PNC motion control,Running speed - speed level (navigation),,/strategy/goal_base/speed_level,The program is not called; speed level (navigation),,int,,,-1,,
PNC motion control,Running speed - speed level (follow line),,/strategy/follow_base/speed_level,The program is not called; speed level (follow the line),,int,,,-1,,
PNC motion control,Running speed-speed setting (navigation),,/strategy/goal_base/speed_level_setting,The program is not called; speed setting (navigation),The path to navigation speed is launch/PNC/2.0/param/pnc/gaussian.yaml. Find the max_velocity_linear parameter in the constraint field (this machine defaults to 1.2). Just modify the desired value and restart the machine to take effect.,string,,,"""0.6,0.8,0.9,1.2""",,
PNC motion control,Running speed-speed setting (follow line),,/strategy/follow_base/speed_level_setting,The program is not called; speed setting (follow the line),,string,,,"""0.6,0.8,0.9,1.2""",,
PNC motion control,Narrow channel identification and passage,,/strategy/narrow_path/path_type,Narrow channel type,"0 is the default value, if you can plan it, pass it; 1 is over the narrow path; 2 is over the narrow path; 40 and 50 are the same",int,0,2,0,,
PNC motion control,Narrow channel identification and passage,,/strategy/narrow_path/use_narrow_map,Narrow channel switch,true is on; false is closed,bool,,,FALSE,,
,,,/device/scrubber/b86_fan_level_setting,,,string,,,"""40,60,80""",,
,,,/device/scrubber/dust_full_detect_filter_time,,,int,,,10000,,
,,,/device/scrubber/motor_work_min_angle,,,double,0,100,0.01,,
传感器,Flat laser filtering,,/strategy/scan_filters/glass_filter_status,Flat laser glass filter function switch,"Some models with flat lasers are drawn, and the filtering near the area is strengthened.",bool,,,FALSE,,
传感器,Camera anti-fall,,/strategy/camera_anti_drop_enable,Enable camera drop-proof function,,bool,,,TRUE,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic0/screened,Ultrasonic 0 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic1/screened,Ultrasonic 1 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic2/screened,Ultrasonic 2 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic3/screened,Ultrasonic 3 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
Sensor-ultrasound,Ultrasonic shielding function switch,,/device/ultrasonic/ultrasonic4/screened,Ultrasonic 4 switch,Close: Use ultrasound; Turn on: Don't use ultrasound,bool,,,FALSE,,
