﻿﻿分类,功能,功能说明,参数位置,参数名称,参数释义,类型,"下
限","上
限","默认
值","参数
单位",备注
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_position_level_setting,Brush disk height level setting,Brush disk height level setting,string,,,"""37,35,33""",,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_pressure_level,Brushing disc motor pressure level,,int,0,100,1,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_pressure_level_setting,Brushing pressure level setting,Brushing pressure level setting,string,,,"""45,45,45""",,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_up_current_threshold,Brushing disc motor rising current threshold,,double,0,20,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_up_half_time,Crystal plane machine: low position-mid position time,,int,0,10000,3000,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/brush_up_pwm,Brush disk up power,,int,0,100,0,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/enable_brush_lift_motor,Enable the brushing disk lifting motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment control-Brushing plate lift motor,,,/device/scrubber/rolling_brush_position_level_setting,Rolling brush height level setting,Roller brush height level setting (stroke value),string,,,"""25,23,21""",,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_current_diff_tolerance,"When the disc brush height is adjusted, the tolerance of the current difference between the left and right disc brushes",,int,0,100,20,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_current_level_setting,"Disc brush height self-adjustment, target current",,string,,,"""45,45,45""",,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_current_tolerance,"When the disc brush height is adjusted, the disc brush current tolerance is",,int,0,10,3,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_max_current,"When the disc brush height is adjusted, the maximum current threshold of the disc brush",,double,,,80,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_max_position,"When the height of the disc brush is adjusted, the maximum stroke value of the disc brush",,double,0,45,40,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_min_position,"When the disc brush height is adjusted, the minimum stroke value of the disc brush",,double,0,45,18,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_position_adjust_interval_time,Adaptive interval time of disk brush,,double,,,168,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_position_self_adjust_initial_position,When the disc brush height is adjusted initially,,double,0,45,18,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/brush_position_self_adjust_wait_current_time,"When the roller brush height is self-adjusting, waiting for the read current time",,double,0,10,3,,
Equipment control-Brushing plate lift motor,Equipment control-disk brush height adaptation,,/device/scrubber/enable_disc_brush_self_adjust,Disc brush self-adjustment function switch,,bool,,,FALSE,,
Equipment Control-Brushing Motor,,,/device/scrubber/brush_spin_level,Drain motor downgrade,,int,0,100,1,,
Equipment Control-Brushing Motor,,,/device/scrubber/brush_spin_level_setting,Swipe speed level settings,Swipe speed level settings,string,,,"""33,65,100""",,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_brush_motor,Enable the brushing motor,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_brush_type_detection,Brushing disc motor type detection switch,,bool,,,FALSE,,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_left_brush,Enable left brushing motor,,bool,,,,,
Equipment Control-Brushing Motor,,,/device/scrubber/enable_right_brush,Enable right-hand brushing motor,,bool,,,,,
Equipment Control-Equipment Life,,,/device/scrubber/left_brush_usage_alert,Left disk brush service life,,int,0,1000000,300,,
Equipment Control-Equipment Life,,,/device/scrubber/left_side_brush_usage_alert,Left brush service life,Left brush service life,double,0,100000,20,,
Equipment Control-Equipment Life,,,/device/scrubber/right_brush_usage_alert,Right disc brush service life,,int,0,1000000,300,,
Equipment Control-Equipment Life,,,/device/scrubber/right_side_brush_usage_alert,The service life of the brush on the right,The service life of the brush on the right,double,0,100000,20,,
Equipment Control-Equipment Life,,,/device/scrubber/roller_squeegee_usage_alert,Roller squeegee service life,Roller squeegee service life,int,0,1000000,200,,
Equipment Control-Equipment Life,,,/device/scrubber/soft_squeegee_usage_alert,Service life of soft glue squeegee,Service life of soft glue squeegee,int,0,1000000,200,,
Equipment Control-Cleaner Pump,,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/enable_detergent_motor,Enable peristaltic pump switch,true: Can be enabled false: Cannot be enabled,bool,,,TRUE,,
Equipment Control-Cleaner Pump,Heavy oil removal,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/strategy/console/battery_consumption_level,Oil pollution tasks trigger back to the workstation's low power threshold by default,Low power level,int,,,45,,
Equipment Control-Cleaner Pump,Cleaner grade,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/detergent_level,Cleaner grade,,int,30,90,90,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/device/scrubber/detergent_motor_duty_ratio_max,Maximum duty cycle for oil sewage pump,Maximum duty cycle for oil sewage pump,int,0,100,100,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/device/scrubber/detergent_motor_duty_ratio_min,Minimum duty cycle for oil sewage pump,Minimum duty cycle for oil sewage pump,int,0,100,0,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/device/scrubber/spray_detergent_default_pwm,Cleaning solution raw duty cycle,,int,,,30,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/device/scrubber/spray_detergent_pwm,Spray grade,,int,0,100,,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/device/scrubber/spray_detergent_time_pwm,Cleaning fluid time duty cycle,,int,,,30,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/strategy/console/clean_effect_test_area_max,NUll,,int,,,10,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),,/strategy/console/clean_effect_test_area_min,NUll,,int,,,2,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),https://gaussian.yuque.com/vhfwq2/mi5d16/id6ugt,/strategy/console/clean_water_consumption_level,The oil pollution task triggers the water volume threshold back to the workstation by default,Clean water consumption level,int,,,29,,
Equipment Control-Cleaner Pump,Equipment control-pharmaceuticals (oil cleaning),Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/strategy/console/dirty_water_consumption_level,The oil pollution task triggers the sewage threshold back to the workstation by default,Sewage accumulation level,int,,,60,,
Equipment Control-Cleaner Pump,,Function description: https://gaussian.yuque.com/vhfwq2/yrna1b/tr33x5,/device/scrubber/detergent_level_setting,Cleaner grade settings,,string,,,"""30,60,90""",,
Equipment Control-Other Equipment,蜂鸣器,,/device/scrubber/keep_beeping,Buzzer long-sounding switch,nature: Continuous whistle false: Only sound the whistle in the whistle area,bool,,,FALSE,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/device/mcu/emergency_type,Emergency Stop Switch Type,0: Non-self-recovery emergency stop hardware 1: For self-recovery emergency stop hardware,int,0,1,0,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/device/mcu/emergency_type,Emergency Stop Switch Type,0: Non-self-recovery emergency stop hardware 1: For self-recovery emergency stop hardware,int,0,1,0,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"自恢复急停在第一次按下急停时，机器人立即停止。 After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_enabled,Emergency stop self-recovery function switch,,bool,,,FALSE,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_global_enabled,AIO1.2 emergency stop self-recovery global support,,bool,,,FALSE,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"The self-recovery emergency stop is immediately stopped when the emergency stop is pressed for the first time. After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_method,急停自恢复恢复策略,,int,0,864000000,1,,
Other equipment-Emergency stop,Emergency stop and self-recovery,"自恢复急停在第一次按下急停时，机器人立即停止。 After pressing the emergency stop for the second time, the emergency stop is released and switch to manual mode. https://gaussian.yuque.com/od6ghz/no74yv/ik3ds7prpbzggv1i?singleDoc# ""Emergency Stop Self-Recovery""",/strategy/console/emergency_auto_resume_wait_duration,Countdown time for emergency stop self-recovery,,int,0,864000000,30,,
Equipment Control-Atomizer,,,/device/scrubber/disinfectant_supply_timeout,Disinfectant rehydration timeout,,int,0,100000,1200,,
Equipment Control-Atomizer,,,/device/scrubber/disinfection_storage_max_time,Maximum time for disinfectant to be placed,Maximum time for disinfectant to be placed,double,0,10000,72,,
Equipment Control-Atomizer,,,/device/scrubber/enable_disinfection_storage_warning,Enable the alarm function for too long to place the disinfectant liquid,Alarm when the disinfectant is placed for too long,bool,,,FALSE,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_bag_low_level_continued_duration,Disinfection tank low liquid level duration,,double,0,10000,10,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_box_low_level_continued_duration,Disinfection low liquid level duration,Disinfection low liquid level duration,double,0,10000,3,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_liquid_supply_timeout_duration,V3.0 disinfection and rehydration timeout time,V3.0 disinfection and rehydration timeout time,double,0,1000000,600,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_distance_level_setting,Spray distance level setting,Spray distance level setting,string,,,"""20,60,100""",,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_rest_working_duration,Spray/scent duration when still,Spray/scent duration when still,double,0,10000,5,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_work_max_angle,Maximum angular velocity for spray working,Maximum angular velocity to trigger the operation of the spray motor,double,0,10000,10,,
Equipment Control-Atomizer,,https://gaussian.yuque.com/od6ghz/no74yv/ogd6mt?singleDoc# 《消杀功能设计文档（40/50）》,/device/scrubber/mist_spray_work_min_speed,Minimum linear speed for spray operation,Minimum linear speed to trigger the operation of the spray motor,double,0,10000,0,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/enable_flush_nozzle_regularly,Enable regular flushing of the nozzle,,bool,,,TRUE,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_fan_level,Working grade of large water jet air suction motor,,int,0,100,100,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_water_level,Self-cleaning water spray port duty cycle,,int,10,100,100,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_speed_level_value,Self-cleaning vehicle speed of water spray port,,double,0.1,1,0.3,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_clean_frequency,Self-cleaning frequency of water spray pipe,,int,0,7,0,,
Equipment control-water jet motor,Regularly spray large amount of water to clean the outlet,"Function description: https://gaussian.yuque.com/vhfwq2/lqmk5f/gboqfdmxdakkatly?singleDoc# ""50/S large-scale water flushing pipeline demand"" https://gaussian.yuque.com/od6ghz/no74yv/wfozmwfkoa30w9lt?singleDoc# ""M-line-intermittent water spray, infiltration, regular flushing spout logic""",/device/scrubber/flush_nozzle_single_spray_duration,Single spray time,,double,0,60,5,,
