1参数位置和名称,2分类1,3分类2,4参数中文名称,5参数释义,6功能分类1,7功能分类2,8功能说明
/strategy/gs_data_feedback/slam_data/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/hodgepodge/event_tracking/enable,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/hodgepodge/event_tracking/enable_align_charging_pile,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/hodgepodge/event_tracking/enable_general_objects,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/hodgepodge/event_tracking/enable_warning_trigger,,,NUll,,DL-感知,数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable,,,NUll,,DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_freespace_endpoint,,,NUll,,DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_garbage_sewage,,,stain脏污 - 数据回流开关（必要时打开）,,DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_ground_objects_seg,,,NUll,,DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/dl_infer/data_feedback/enable_xyf_detect,,,NUll,,DL-感知,深度学习数据回流,功能说明：https://gaussian.yuque.com/uapxw5/pmk97c/oxoh5c6ciwkigud5
/strategy/camera_subscribe_imu,,,NUll,,DL-感知,倾斜检测（IMU）,
/strategy/dl_infer/open_freespace_endpoint,,,可通行区域模型,,DL-感知,模型开关,
/strategy/dl_infer/open_garbage_sewage_task,,,NUll,,DL-感知,模型开关,
/strategy/dl_infer/open_ground_objects_seg,,,地面物体模型,,DL-感知,模型开关,
/strategy/dl_infer/open_xyf_detect,,,xfy模型,,DL-感知,模型开关,
/strategy/dl_infer/garbage_detection,,,是否开启垃圾检测,,DL-感知,垃圾检测,
/strategy/dl_infer/garbage_roi_filters/lower_right_x2,,,垃圾检测的检测区域,右下角的x轴的图像坐标,DL-感知,垃圾检测,
/strategy/dl_infer/garbage_roi_filters/lower_right_y2,,,垃圾检测的检测区域,右下角的y轴的图像坐标,DL-感知,垃圾检测,
/strategy/dl_infer/garbage_roi_filters/upper_left_x1,,,垃圾检测的检测区域,左上角的x轴的图像坐标,DL-感知,垃圾检测,
/strategy/dl_infer/garbage_roi_filters/upper_left_y1,,,垃圾检测的检测区域,左上角的y轴的图像坐标,DL-感知,垃圾检测,
/strategy/dl_infer/garbage_roi_filters/use_ROI,,,垃圾检测的检测区域的开关,如果前摄像头和75的刷盘或者车身发生干涉，则打开这个开关,DL-感知,垃圾检测,
/dirty_config/other/showcase,,,可通行边缘-展台检测功能,1:打开；2:关闭,DL-感知,可通行边缘-展台检测功能,
/dirty_config/other/shelves,,,可通行边缘-货架检测功能,1:打开；2:关闭,DL-感知,可通行边缘-货架检测功能,
/dirty_config/other/blackobject,,,可通行边缘:黑色物体检测功能,1:打开；2:关闭,DL-感知,可通行边缘-黑色物体检测功能,
/dirty_config/other/pole,,,可通行边缘-广告牌杆检测功能,1:打开；2:关闭,DL-感知,可通行边缘-广告牌杆检测功能,
/dirty_config/other/escalator_edge,,,可通行边缘-扶梯金属边检测功能,1:打开；2:关闭,DL-感知,可通行边缘-扶梯金属边检测功能,
/dirty_config/other/fallarea_edge,,,可通行边缘-跌落区检测功能,1:打开；2:关闭,DL-感知,可通行边缘-跌落区检测功能,
/dirty_config/other/glass,,,可通行边缘-玻璃检测功能,1:打开；2:关闭,DL-感知,可通行边缘-玻璃检测功能,功能说明：https://gaussian.yuque.com/perception/documents/gfrhneuwau446brq
/strategy/four_point_sticker_detect_enable,,,四点红色贴纸识别开关,,DL-感知,红外贴纸识别（四点）,
/strategy/hexagon_sticker_detect_enable,,,七点红外贴纸识别开关,,DL-感知,红外贴纸识别（七点）,
/strategy/ir_sticker_enable,,,红外贴纸检测功能开关,,DL-感知,红外贴纸识别,
/dirty_config/other/footpad,,,地面分割-脚垫检测功能,1:打开；2:关闭,DL-感知,地面分割-脚垫检测功能,
/dirty_config/other/escalator_pedal,,,地面分割-扶梯踏板检测功能,1:打开；2:关闭,DL-感知,地面分割-扶梯踏板检测功能,
/dirty_config/other/wire,,,地面分割-电线检测功能,1:打开；2:关闭,DL-感知,地面分割-电线检测功能,
/dirty_config/other/carpet,,,地面分割-地毯检测功能,1:打开；2:关闭,DL-感知,地面分割-地毯检测功能,
/dirty_config/garbage/garbage,,,垃圾检测功能,1:打开；2:关闭,DL-感知,DL-垃圾检测,
/dirty_config/garbage/large_garbage,,,大垃圾检测功能,1:打开；2:关闭,DL-感知,DL-垃圾检测,
/dirty_config/garbage/mixed_garbage_temp,,,NUll,1:打开；2:关闭,DL-感知,DL-垃圾检测,
/dirty_config/model/open_garbage_sewage_ss,,,NUll,,DL-感知,,
/strategy/dl_infer/open_lidar_3d_detect,,,,,DL-感知,,
/strategy/laser_stain/init,,,开大小物体语义检测功能,,DL-感知,,
/strategy/rcc/remote_control_limitation,,,隐私保护开关,,NUll,隐私保护开关,
/strategy/console/strong_wash_args_detergent_wait_time,,,等待时间,,NUll,设备控制-清洁剂泵,重度除油
/strategy/console/strong_wash_args_foam_num,,,吸沫次数,,NUll,设备控制-清洁剂泵,重度除油
/strategy/console/strong_wash_args_scrub_num,,,擦地次数,,NUll,设备控制-清洁剂泵,重度除油
/strategy/console/strong_wash_args_speed_level,,,速度,,NUll,设备控制-清洁剂泵,重度除油
/strategy/console/strong_wash_args_spray,,,喷药次数,,NUll,设备控制-清洁剂泵,重度除油
/strategy/console/strong_wash_args_wash_num,,,清洗次数,,NUll,设备控制-清洁剂泵,重度除油
/strategy/depth_camera_occlusion_triggered_time_thresh,,,在发出一次20832/20833告警后，需要至少X分钟后才会发出下一次告警,,NUll,传感器-摄像头,
/strategy/gs_data_feedback/camera_cover_detect/enable,,,NUll,,NUll,DL-感知,深度学习数据回流
/strategy/gs_data_feedback/camera_interference_detect/enable,,,NUll,,NUll,DL-感知,深度学习数据回流
/strategy/gs_data_feedback/dl_depth_fusion/enable,,,NUll,,NUll,DL-感知,深度学习数据回流
/device/mcu/cancel_ttl_485,,,NUll,,NUll,,
/device/scrubber/device_operation_timeout_time,,,NUll,,NUll,,
/device/scrubber/disc_brush_position_adjust_delta_current_level_setting,,,NUll,,NUll,,
/device/scrubber/dust_detect_sensor_error_voltage_threshold,,,NUll,,NUll,,
/device/scrubber/dust_full_distance,,,NUll,,NUll,,
/device/scrubber/enable_auto_replace_brush,,,NUll,,NUll,,
/device/scrubber/enable_brush_motor_off_while_place_rotating,,,NUll,,NUll,,
/device/scrubber/enable_clean_dust,,,NUll,,NUll,,
/device/scrubber/enable_fnl_detection,,,NUll,,NUll,,
/device/scrubber/enable_send_filter_motor,,,上位机控制过滤,,NUll,,
/device/scrubber/enable_shield_dust_box_not_install,,,NUll,,NUll,,
/device/scrubber/enable_side_brush_lift_motor,,,边刷抬升电机开关,,NUll,,
/device/scrubber/fnl_fan_level_value,,,NUll,,NUll,,
/device/scrubber/half_lift_brush_during_inspection,,,NUll,,NUll,,
/device/scrubber/head_cover_detection_timeout_time,,,NUll,,NUll,,
/device/scrubber/high_water_flow_and_remaining_water_interval,,,NUll,,NUll,,
/device/network/ping_hosts,,,NUll,,NUll,,
/device/network/wifi_search_ap_list_slam_http_interval,,,NUll,,NUll,,
/device/network/wifi_search_ap_list_slam_interval,,,NUll,,NUll,,
/device/network/wifi_search_ap_list_slam_interval,,,NUll,,NUll,,
/device/scrubber/cleaning_ability_dust_push_settings,,,NUll,,NUll,,
/device/scrubber/cleaning_ability_sweep_settings,,,NUll,,NUll,,
/device/scrubber/cleaning_ability_wash_settings,,,NUll,,NUll,,
/device/scrubber/close_valve_by_robot_still_time,,,NUll,,NUll,,
/device/scrubber/delay_lift_squeegee_without_water,,,NUll,,NUll,,
/device/scrubber/motor_work_min_speed,,,触发设备电机工作的最小速度,,NUll,,
/device/scrubber/need_control_roller_brush_spin_level,,,NUll,,NUll,,
/device/scrubber/need_to_default,,,加载电机驱动器默认参数,,NUll,,
/device/scrubber/open_device_distance_during_tasks,,,NUll,,NUll,,
/device/scrubber/right_side_brush_reverse,,,NUll,,NUll,,
/device/scrubber/secondary_water_low_level_continued_duration,,,NUll,,NUll,,
/device/scrubber/secondary_water_low_level_continued_duration,,,NUll,,NUll,,
/device/scrubber/speed_limit_device_function_warning_time,,,NUll,,NUll,,
/device/scrubber/speed_limit_device_operation_warning_time,,,NUll,,NUll,,
/device/scrubber/static_cleaning_ability,,,NUll,,NUll,,
/device/scrubber/valve_protect_time,,,NUll,,NUll,,
/dirty_config/model/filter_crossover_detect,,,NUll,,NUll,,
/feature/software/aio_active_clean_switch_enable,,,主动清洁功能开关,主动清洁是一个相对任务的配置项，表示我在普通作业时会不会主动避让合主动清扫看到的脏污和垃圾,NUll,,
/feature/software/enable_strongwash_workmode,,,NUll,,NUll,,
/feature/software/enabled_battery_cell_undervoltage,,,NUll,,NUll,,
/feature/software/is_docking_check_enable,,,NUll,,NUll,,
/pnc/decision/realtime_autocover/improve_pedestrian_interaction_experience,,,NUll,,NUll,,
/pnc/gaussian/strategy/close_plan_mask_limit,,,NUll,,NUll,,
/pnc/planning/moving_people_decider/inspection_for_dynamic_people,,,NUll,,NUll,,
/pnc/planning/moving_people_decider/inspection_for_static_people,,,NUll,,NUll,,
/pnc/planning/moving_people_decider/use_decider,,,NUll,,NUll,,
/qr_parameters/refelctor_center_range,,,NUll,,NUll,,
/sensor/lidar/lidar2d_max_dist,,,NUll,,NUll,,
/strategy/app/glassdoor_edit,,,NUll,,NUll,,
/strategy/chassis/abnormal_monitor/enable,,,NUll,,NUll,,
/strategy/chassis/collision_detection/acceleration_thresh,,,NUll,,NUll,,
/strategy/chassis/collision_detection/delta_velocity_thresh,,,NUll,,NUll,,
/strategy/chassis/collision_detection/imu_count_thresh,,,NUll,,NUll,,
/strategy/chassis/collision_detection/time_window,,,NUll,,NUll,,
/strategy/chassis/imu/overturn_pitch_alarm_threshold,,,NUll,,NUll,,
/strategy/chassis/imu/overturn_roll_alarm_threshold,,,NUll,,NUll,,
/strategy/chassis/quick_switch_manual_mode_timeout,,,NUll,,NUll,,
/strategy/chassis/speed_v/remote_level,,,未使用,,NUll,,
/strategy/chassis/sum_angular_diff,,,高速速度差值累计的阈值（角度）,0,NUll,,
/strategy/chassis/sum_vel_diff,,,高速速度差值累计的阈值（速度）,0,NUll,,
/strategy/chassis/torque_control/v_level_3,,,助力模式速度配置,助力模式的推荐速度 ，能够限制机器人行驶的最大速度,NUll,,
/strategy/chassis/unicycle_motor/current_motor_cmd_acc,,,chassis计算下发速度的加速度,,NUll,,
/strategy/chassis/wheel_motor_monitor/enable_zero_drift_detection,,,NUll,,NUll,,
/strategy/checker/auto_go_back,,,NUll,,NUll,,
/strategy/checker/detail_update_interval,,,NUll,,NUll,,
/strategy/checker/go_back_internal,,,NUll,,NUll,,
/strategy/checker/steering_overload,,,NUll,,NUll,,
/strategy/checker/update_complete,,,NUll,,NUll,,
/strategy/checker/update_enable,,,NUll,,NUll,,
/strategy/checker/update_startup_delay,,,NUll,,NUll,,
/strategy/console/default_active_clean_switch_val,,,NUll,,NUll,,
/strategy/console/enable_device_limits,,,任务前设备在位检测功能开关,,NUll,,
/strategy/console/enable_draw_inaccessible_area,,,NUll,,NUll,,
/strategy/console/enable_straight_sound,,,NUll,,NUll,,
/strategy/console/gohome1_idle_cd,,,NUll,,NUll,,
/strategy/console/gohome1_idle_cd_before,,,NUll,,NUll,,
/strategy/console/gohome1_stop_temp_task_cd,,,NUll,,NUll,,
/strategy/console/gohome1_stop_temp_task_cd_before,,,NUll,,NUll,,
/strategy/console/gohome1_task_finish_cd,,,NUll,,NUll,,
/strategy/console/gohome1_task_finish_cd_before,,,NUll,,NUll,,
/strategy/console/is_waterbox_check_cleanup_on,,,NUll,,NUll,,
/strategy/console/land_mark_check,,,NUll,,NUll,,
/strategy/console/maintain_mode/leave_duration,,,NUll,,NUll,,
/strategy/console/maintain_mode/notify_leave_duration,,,NUll,,NUll,,
/strategy/console/manual_push_out_elevator_pub_duration,,,NUll,,NUll,,
/strategy/console/multi_scene_localization_on,,,NUll,,NUll,,
/strategy/console/privacy_switcher,,,NUll,,NUll,,
/strategy/console/ramp_assist_enable,,,NUll,,NUll,,
/strategy/console/ramp_assist_min_battery,,,NUll,,NUll,,
/strategy/console/relay_network_status,,,NUll,,NUll,,
/strategy/console/set_update_offline_timeout_sec,,,NUll,,NUll,,
/strategy/console/sewage_wait_time,,,污水等待时间,,NUll,,
/strategy/console/similar_point_detect,,,不用了,,NUll,,
/strategy/console/slam_floor_recognition_time,,,NUll,,NUll,,
/strategy/console/sleep_mode_stop_task,,,NUll,,NUll,,
/strategy/console/sound_volume_input_threshold,,,NUll,,NUll,,
/strategy/console/sound_volume_output_threshold,,,NUll,,NUll,,
/strategy/console/supported_task_version,,,NUll,,NUll,,
/strategy/console/use_additional_delta_duration,,,NUll,,NUll,,
/strategy/console/user_volume,,,NUll,,NUll,,
/strategy/console/warning_gosupply_on,,,NUll,,NUll,,
/strategy/console/warning_guide_idle_time,,,NUll,,NUll,,
/strategy/console/warning_list,,,console开始，继续任务时判断是否检查告警,,NUll,,
/strategy/console/waterbox_check_cleanup_low_water_percent,,,NUll,,NUll,,
/strategy/console/waterbox_check_cleanup_weekdays,,,NUll,,NUll,,
/strategy/depth_camera_occlusion_detect_enable,,,NUll,,NUll,,
/strategy/depth_estimate_fusion_ghost_enable,,,模型开关 影子模式开关,,NUll,,
/strategy/device_controller/avoid_distance,,,免放设备距离,免放设备距离（任务开始时离终点小于该距离，不放设备）,NUll,,
/strategy/device_controller/forbiden_areas,,,禁洗区域,禁洗区域,NUll,,
/strategy/device_controller/wait_devices_up_distance,,,等待设备抬起警戒距离,等待设备抬起警戒距离（距离禁洗区域一定距离时，提前停顿限速，准备抬起设备）,NUll,,
/strategy/dl_infer/data_feedback/enable_gdpr_face_detection,,,NUll,,NUll,,
/strategy/dl_infer/data_feedback/enable_vpr,,,NUll,,NUll,,
/strategy/dl_infer/has_warning,,,余水检测告警开关,打开时候会发出告警，关闭则不会告警,NUll,,
/strategy/dl_infer/is_park,,,是否为车库模式，确定开启什么模型,False：行人扶梯一米兰true：车辆行人检测,NUll,,
/strategy/dl_infer/leakwarning_snapshot/activate,,,余水检测数据回流的开关,打开会出发定期存图的功能,NUll,,
/strategy/dl_infer/leakwarning_snapshot/save_path,,,余水检测数据回流的存图路径,一般不改,NUll,,
/strategy/dl_infer/open_depth_estimation,,,模型开关,,NUll,,
/strategy/dl_infer/open_gdpr_face_detection,,,NUll,,NUll,,
/strategy/dl_infer/open_keypoint,,,NUll,,NUll,,
/strategy/dl_infer/open_vpr,,,NUll,,NUll,,
/strategy/dl_infer/snapshots/dist_thresh,,,垃圾检测保存数据的间隔,一般不改,NUll,,
/strategy/dl_infer/snapshots/save_garbage_image,,,垃圾检测模型数据回流开关,打开会出发定期存图的功能,NUll,,
/strategy/dl_infer/snapshots/save_image_path,,,垃圾检测模型数据回流保存路径,一般不改,NUll,,
/strategy/dl_infer/snapshots/save_num,,,垃圾检测数据回流的存图上限,一般不改,NUll,,
/strategy/edge_task/virtual_wall_buffer_dis,,,实时自动覆盖任务中虚拟墙和墙线地图wall_line_map的内切膨胀半径,,NUll,,
/strategy/elevator_base/ordering_min_dis,,,NUll,,NUll,,
/strategy/follow_base/extend_distance,,,NUll,,NUll,,
/strategy/fov_realtime_auto_cover/draining_time,,,NUll,,NUll,,
/strategy/fov_realtime_auto_cover/enable_abandon_area_sewage,,,NUll,,NUll,,
/strategy/fov_realtime_auto_cover/enable_full_safe_check,,,NUll,,NUll,,
/strategy/goal_base/max_safety_search_dis,,,NUll,,NUll,,
/strategy/gs_work_station/delay_recovery_clean_water_empty_warn_sec,,,NUll,,NUll,,
/strategy/localization/latent_obstacle/rgbd_ranges/pointcloud1,,,NUll,,NUll,,
/strategy/localization/latent_obstacle/ultrasonic_topics/ultrasonic0,,,NUll,,NUll,,
/strategy/localization/latent_obstacle/ultrasonic_topics/ultrasonic1,,,NUll,,NUll,,
/strategy/localization/latent_obstacle/ultrasonic_topics/ultrasonic2,,,NUll,,NUll,,
/strategy/localization/latent_obstacle/ultrasonic_topics/ultrasonic5,,,NUll,,NUll,,
/strategy/localization/P85,,,NUll,,NUll,,
/strategy/localization/P86,,,NUll,,NUll,,
/strategy/localization/P96,,,NUll,,NUll,,
/strategy/move_base/angle_diff_threshold,,,NUll,,NUll,,
/strategy/move_base/angle_threshold_neg,,,NUll,,NUll,,
/strategy/move_base/angle_threshold_pos,,,NUll,,NUll,,
/strategy/move_base/avoid_people_dist,,,NUll,,NUll,,
/strategy/move_base/check_dis,,,NUll,,NUll,,
/strategy/move_base/enable_backward_recovery_device_check,,,NUll,,NUll,,
/strategy/move_base/enable_close_distance_alarm,,,NUll,,NUll,,
/strategy/move_base/enable_mark_costmap,,,NUll,,NUll,,
/strategy/move_base/enable_narrow_aisle_checker,,,NUll,,NUll,,
/strategy/move_base/enable_residual_water_opt,,,NUll,,NUll,,
/strategy/move_base/filter_dis_threshold,,,NUll,,NUll,,
/strategy/move_base/fovcover_mission_never_done,,,NUll,,NUll,,
/strategy/move_base/is_new_vehicle_type,,,NUll,,NUll,,
/strategy/move_base/max_narrow_search_dis,,,NUll,,NUll,,
/strategy/move_base/min_turn_radius,,,NUll,,NUll,,
/strategy/move_base/narrow_aisle_width_threshold,,,窄道判断宽度阈值,,NUll,,
/strategy/move_base/use_local_laser_static_costmap,,,NUll,,NUll,,
/strategy/move_base/vel_diff_threshold,,,NUll,,NUll,,
/strategy/move_base/wait_time_to_jump_point,,,NUll,,NUll,,
/strategy/obstacle_track/spatio_termporal_graph_filter,,,平激光时空图过滤；已弃用,已弃用,NUll,,
/strategy/orbbec3/anti_drop_image_boundary_deficiency_detect,,,NUll,,NUll,,
/strategy/pnc/realtime_autocover/main_angle_belief_ratio,,,NUll,,NUll,,
/strategy/pnc/realtime_autocover/main_angle_samples_ratio,,,NUll,,NUll,,
/strategy/pnc/realtime_autocover/never_give_up_time,,,NUll,,NUll,,
/strategy/pnc/realtime_autocover/skip_outer_and_inner_edge_follow,,,NUll,,NUll,,
/strategy/pnc/realtime_autocover/use_arcuate_autocover,,,NUll,,NUll,,
/strategy/pnc/realtime_autocover/use_never_give_up,,,NUll,,NUll,,
/strategy/project_node/enable_inspect_deduplicate,,,NUll,,NUll,,
/strategy/project_node/enable_sementic_map,,,NUll,,NUll,,
/strategy/project_node/endpoint_thresh,,,NUll,,NUll,,
/strategy/project_node/gate_area_ignore_flag,,,NUll,,NUll,,
/strategy/project_node/gate_area_thresh,,,NUll,,NUll,,
/strategy/rcc/daily_clean_tick_seconds,,,NUll,,NUll,,
/strategy/rcc/elevator_request_timeout,,,NUll,,NUll,,
/strategy/realtime_auto_cover/coverage_mode,,,NUll,,NUll,,
/strategy/realtime_auto_cover/min_left_len,,,NUll,,NUll,,
/strategy/scan_filters/large_area_cover_enable,,,NUll,,NUll,,
/strategy/scan_filters/large_area_cover_triggered_time_thresh,,,NUll,,NUll,,
/strategy/sound/greenlight_customization,,,NUll,,NUll,,
/strategy/ssddetect/compensate_flag,,,NUll,,NUll,,
/strategy/ssddetect/is_park,,,NUll,,NUll,,
/strategy/ssddetect/model,,,NUll,,NUll,,
/wireless_localization/wireless_search/enable,,,NUll,,NUll,,
/strategy/narrow_path/path_type,,,窄通道类型,0是默认值，能规划就过； 1是过窄道； 2是不过窄道； 40，50都一样,PNC运动控制,窄通道识别与通行,
/strategy/narrow_path/use_narrow_map,,,窄通道开关,true是打开；false是关闭,PNC运动控制,窄通道识别与通行,
/strategy/move_base/narrow_width_threshold,,,,,PNC运动控制,窄道判断,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/dv72zn
/strategy/realtime_auto_cover/min_narrow_dis,,,窄道判断长度阈值,,PNC运动控制,窄道判断,功能说明：https://gaussian.yuque.com/vhfwq2/yrna1b/dv72zn
/strategy/follow_base/speed_level_setting,PNC,follow_base,程序没调用；速度设置（跟线）,,PNC运动控制,运行速度-速度设置（跟线）,
/strategy/goal_base/speed_level_setting,PNC,goal_base,程序没调用；速度设置（导航）,"导航速度的路径为launch/PNC/2.0/param/pnc/gaussian.yaml, 找到constraint字段下的max_velocity_linear参数(此机器默认1.2), 修改想要的数值即可, 重启机器生效.",PNC运动控制,运行速度-速度设置（导航）,
/strategy/follow_base/speed_level,,,程序没调用；速度等级（跟线）,,PNC运动控制,运行速度-速度等级（跟线）,
/strategy/goal_base/speed_level,,,程序没调用；速度等级（导航）,,PNC运动控制,运行速度-速度等级（导航）,
/strategy/move_base/efficiency_submode,,,效率模式功能开关,1：机器人会按照最快的加速度去跑,PNC运动控制,效率模式功能,功能说明：https://gaussian.yuque.com/pnc/yu7uqr/ws1kaxfkgyopmpbn?singleDoc# 《autocover4.0效率提升部署说明》
/strategy/chassis/angle_speed_limit_flag,,,下发转角与实际转角的差值限速,,PNC运动控制,限制,
/strategy/chassis/angle_speed_limit_max_value,,,下发转角与实际转角的差值大于90度时，限速该数值,,PNC运动控制,限制,
/strategy/chassis/angle_speed_limit_min_value,,,下发转角与实际转角的差值大于30度时，限速该数值,,PNC运动控制,限制,
/strategy/depthcam_fusion/is_wall_line_switch_on,,,识别墙线功能开关,,PNC运动控制,贴边运行参数,功能说明：https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# 《贴边能力介绍&参数修改》
/strategy/edge_planner/obstacle_max_safe_buffer,,,"周围有障碍物点云的情况下,贴边的最大buffer",,PNC运动控制,贴边运行参数,功能说明：https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# 《贴边能力介绍&参数修改》
/strategy/fwc/skirting_distance,,,PSD贴边距离,,PNC运动控制,贴边运行参数,功能说明：https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# 《贴边能力介绍&参数修改》
/strategy/move_base/use_virtual_wall_edge,,,贴边虚拟墙功能开关,,PNC运动控制,贴边运行参数,功能说明：https://gaussian.yuque.com/pnc/yu7uqr/ypzgpucdabgaxem5?singleDoc# 《贴边能力介绍&参数修改》
